year,energy_per_capita_forecast,population_total,pop_working_age_pct,total_energy_forecast_twh
2025,7474.165333588898,1463865527.0,68.4281616394673,10941.172974939242
2026,7682.24138683654,1476625571.0,68.6058518757698,11343.794074397338
2027,7886.83372340247,1489164674.0,68.765208635348,11744.794170602845
2028,8088.215479181327,1501432743.0,68.9008765676026,12143.911552882279
2029,8285.479582135946,1513423731.0,68.99153525959876,12539.441422320504
2030,8475.426674664934,1525138848.0,69.05535501774852,12926.202474906948
2031,8660.77500871931,1536540600.0,69.12457633726046,13307.632428362575
2032,8846.263296546193,1547607119.0,69.17096147061598,13690.540054283296
2033,9027.624645528667,1558324083.0,69.19575605378103,14067.96489741166
2034,9205.014724068813,1568688350.0,69.20867067062747,14439.799359225211
2035,9379.87815332408,1578694794.0,69.18706282881428,14807.964809007059
2036,9548.81994336222,1588325362.0,69.13779526993412,15166.632893213617
2037,9712.827331406323,1597537004.0,69.0792946414905,15516.601075384171
2038,9874.562624657887,1606300642.0,69.0158076273744,15861.516283457167
2039,10034.598593852537,1614639238.0,68.94638683368848,16202.256627213932
2040,10192.842544735191,1622580046.0,68.87310723159233,16538.702925107184
2041,10349.66263623663,1630119370.0,68.79259179651365,16871.185536294593
2042,10504.546278158181,1637235359.0,68.70594547182633,17198.414596852424
2043,10657.612077588912,1643915265.0,68.61468173056961,17520.21118279678
2044,10809.05908500241,1650186606.0,68.51116763942514,17836.96452553359
2045,10957.805109600165,1656067581.0,68.38931647439816,18146.865800924985
2046,11102.979206158223,1661548396.0,68.24935925609957,18448.137290813545
2047,11244.595044841655,1666628147.0,68.09426722108516,18740.55860334983
2048,11383.094771868597,1671309723.0,67.92297982700121,19024.676970054454
2049,11518.326034466416,1675619888.0,67.73241390412525,19300.3361798201
2050,11649.885029033205,1679589264.0,67.52503753798702,19567.0218215985
2051,11778.20584063531,1683220885.0,67.2993193641368,19825.322058786336
2052,11903.06605774907,1686507891.0,67.05903548007768,20074.61483348807
2053,12025.015434528548,1689465431.0,66.80928726265249,20315.847883877424
2054,12144.84866772974,1692068272.0,66.5478369066659,20549.913098906964
2055,12262.177565721799,1694328247.0,66.27895840067406,20776.15381933214
2056,12377.666104692613,1696276844.0,66.00085021263192,20995.94839615376
2057,12491.112090745126,1697919571.0,65.71140736324075,21208.90368243088
2058,12602.212650400845,1699255336.0,65.41438107921881,21414.37709160034
2059,12711.526104313016,1700265998.0,65.10939207760362,21612.97561785282
2060,12818.957132774914,1700951711.0,64.79459621767005,21804.427068229146
2061,12924.230444449633,1701283705.0,64.47251183188168,21987.78265480707
2062,13027.6611521895,1701273206.0,64.14445764215486,22163.610855067083
2063,13129.470254931377,1700949861.0,63.81032356602779,22332.57060512916
2064,13229.704436735166,1700300209.0,63.471186987309245,22494.469218789032
2065,13328.496053177256,1699297227.0,63.12248516368585,22649.076383244555
